subject,label,prefLabel
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,abstract test suite
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,abstrakt testsuite
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,abstrakt testsvit
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,abstrakte Test-Suite
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,abstrakti testisarja
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,conjunto de pruebas abstractas
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,suite de tests abstraits
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,комплекс абстрактных тестов
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,مجموعة اختبار تجريدي
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,抽象测试套件
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,抽象試験項目群，ATS
https://isotc211.geolexica.org/api/ld/concepts/6/abstract_test_suite,abstract test suite,추상 시험 스위트
